Parts,Device,Package,Value,Quantity,Digi-Key Part Number
"C1, C2",CAPACITOR,0402,22pF,2,720-1593-1-ND
"C12, C13, C15, C16, C17, C25, C26, C27, C28",CAPACITOR,0603,0.1uF,2,1276-6985-1-ND
C14,CAPACITOR,0603,2.2uF,1,1276-6726-1-ND
C18,CAPACITOR,0603,10uF,1,490-10475-1-ND
"C19, C20, C21",CAPACITOR,0603,0.22uF,3,311-3103-1-ND
"C22, C23",CAPACITOR,0603,4.7uF,2,445-13231-1-ND
C24,CAPACITOR,0603,0.1uF,1,445-13231-1-ND
C29,CAPACITOR,0402,10nF,1,1276-1051-1-ND
C3,CAPACITOR,0402,33nF,1,490-11149-1-ND
"C30, C34",CAPACITOR,0402,0.1uF,2,587-1994-1-ND
C31,CAPACITOR,0402,1nF,1,587-1051-1-ND
C32,CAPACITOR,0402,0.3pF,1,399-6155-1-ND
C33,CAPACITOR,0402,220pF,1,311-3060-1-ND
C4,CAPACITOR,0402,2.2nF,1,587-4324-1-ND
C5,CAPACITOR,0402,4.7pF,1,1276-6694-1-ND
C6,CAPACITOR,0402,1.0pF,1,587-5103-1-ND
C7,CAPACITOR,0402,1.5pF,1,587-5122-1-ND
"C8, C9, C10, C11",CAPACITOR,0603,8.2pF,4,490-12727-1-ND
D1,EVERLIGHT_EAST1616RGBB2EVERLIGHT_EAST1616RGBB2_0_0,CUSTOM,,1,1080-1551-1-ND
D2,VISHAY_SSB43L-E3-52TVISHAY_SSB43L-E3-52T_0_0,CUSTOM,,1,SSB43L-E3/52TGICT-ND
"D3, D4",DIODE_0603,0603,,2,CCS15S30L3FCT-ND
J1,PUSHBUTTON,CUSTOM,,1,2449-CT11025.0F160-ND
J2,USB4110-GF-A,CUSTOM,,1,2073-USB4110-GF-A-1-ND
J3,SMA_EDGE,SMA_EDGE,,1,CONREVSMA003.062-G-ND
L1,INDUCTOR0402,0402,8.2nH,1,2035-0402HP-8N2EHTSCT-ND
L2,INDUCTOR0402,0402,2.7nH,1,2035-0402HP-2N7EDTSCT-ND
L3,INDUCTOR0402,0402,3.9nH,1,2035-0402HP-3N9EDTSCT-ND
L4,INDUCTOR3V3,CUSTOM,3uH,1,445-173052-1-ND
LED1,LEDCHIPLED_1206,1206,,1,MP-3014-1100-35-80
P1,JTAG-10MINI,JTAG-10MINI,,1,SAM8799-ND
Q2,MOSFTET-PCH-IRLML6402,SOT-23,,1,SI2305-TPMSCT-ND
"Q3, Q6",MOSFET-NCH-RE1C002UN,SOT-416FL,,2,RE1C002UNTCLCT-ND
R1,RESISTOR,0402,1M,1,2037-PFR05S-105-FNHCT-ND
"R6, R9, R10, R12, R13, R14, R17",RESISTOR,0603,10k,5,RNCP0603FTD10K0CT-ND
"R15, R16",RESISTOR,0402,10k,2,RNCF0402BTE10K0CT-ND
R2,RESISTOR,0402,22K,1,RMCF0402FT22K0CT-ND
"R3, R4",RESISTOR,0603,4.7k,2,MCT0603-4.7K-MDCT-ND
R5,RESISTOR,0603,470,1,RMCF0603FT470RCT-ND
R7,RESISTOR,0603,100k,1,RMCF0603FT100KCT-ND
"R8, R11",RESISTOR,0603,5.1k,2,RMCF0603FT5K10CT-ND
U1,NRF24L01SMD,QFN20,,1,1490-NRF24L01P-RCT-ND
U2,TLC59731DR,,,1,296-40590-1-ND
U3,FT232RQ,QFN50-33N,,1,768-1307-ND
U4,TPS7A26-1.8,WSON,,1,296-TPS7A2618DRVRCT-ND
U5,ADP2302,SOIC127-9N,,1,ADP2302ARDZ-3.3-R7CT-ND
U6,RFX2401C,QFN500-17N,,1,863-1828-1-ND
U7,MPL3115A2LGA,LGA8,,1,MPL3115A2R1CT-ND
U8,STM32F412RE-S,QFP50-64N,,1,497-19350-1-ND
U9,ICM-20948,QFN40-24N,,1,1428-1123-1-ND
U10,2450LP14A100T,ICCAF50-6N,,1,712-1129-1-ND
X1,CRYSTAL-NX3225GD,NDK-NX3225GD,8MHz,1,644-1178-2-ND
X2,NX32,NDK_NX3215SA-32.768K-STD-MUA-8_0,32.768kHz,1,644-1156-1-ND
X3,ABM8-16.000MHZ-B2-T,OSCSC320X250X100N,16MHz,1,535-9134-1-ND